id,state_id,name
c1631dd7-2189-46a9-be68-ba476e8e7fb0,9395ff9d-e68f-41f2-9115-332d7d874d9c,Papum Pare
319e0306-a545-4a40-9af6-29c5b9239478,9395ff9d-e68f-41f2-9115-332d7d874d9c,Shi Yomi
8db6cd50-54c7-4bad-826f-e0b7164dc58f,9395ff9d-e68f-41f2-9115-332d7d874d9c,Siang
470354f0-7e3c-4878-8a8a-98effbf46f00,9395ff9d-e68f-41f2-9115-332d7d874d9c,Tawang
8c7029ce-b740-420d-81cd-23934cf9f3dd,9395ff9d-e68f-41f2-9115-332d7d874d9c,Tirap
bca52027-8812-4b0a-b4dc-12de4b6755f6,9395ff9d-e68f-41f2-9115-332d7d874d9c,Upper Siang
33b88142-eaa0-4304-887f-b39b3d3d8303,9395ff9d-e68f-41f2-9115-332d7d874d9c,Upper Subansiri
73b8e30b-b1ee-4439-99a1-41b5564fe68d,9395ff9d-e68f-41f2-9115-332d7d874d9c,West Kameng
bfd55f61-e04a-446a-9e33-fec7bcbd7919,9395ff9d-e68f-41f2-9115-332d7d874d9c,West Siang
48e14ffa-75c2-460f-b0b0-ab1224061589,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Bajali
9c373d51-f164-4ee3-82e2-afb387c1c2a8,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Baksa
f081740b-cbe0-489d-abcd-901fdcdc1652,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Barpeta
f693bbd4-7e4e-4688-b743-87b70d0e4898,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Biswanath
2b4a9b41-a1be-4bb1-a9b8-b31a78ab5445,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Bongaigaon
ebeb080f-362f-42e7-9ad1-4b1e0c04f318,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Cachar
163830a1-851e-4e55-aef2-65360f5346cf,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Charaideo
a3350222-6514-4bf9-8c07-004504179d18,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Chirang
92a2fd1d-6851-4e61-8a28-a3b20b179403,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Darrang
83bdf84b-063f-4d8c-800f-5c42f59f7d59,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Dhemaji
7d1e56c4-9abf-4923-acb7-0a940695b322,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Dhubri
848c625e-3433-4deb-9008-234ba5846d44,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Dibrugarh
33ceb798-059e-4c36-93a8-d1834fb839b3,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Dima Hasao
eb1f470d-a395-4ce3-87bb-e8e42ce1d712,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Goalpara
9d3f14a9-291f-4c15-a8df-04975317d8cc,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Golaghat
80b9ee1c-0a6b-4e41-bebe-f7c27c4ce947,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Hailakandi
b90aa0ea-5c85-4233-9e81-1f966b61f914,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Hojai
c7bebc44-01bf-44ac-82d4-eb0ccb75ce82,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Jorhat
2fc20c28-380c-473a-9b95-3234816dd294,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Kamrup
eff9c0db-805d-4826-9871-0fde521a057d,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Kamrup Metro
621de52d-5169-4885-9572-4e29283b19af,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Karbi Anglong
96c70501-bace-405c-a6de-34804f610fcb,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Karimganj
e71d611b-4787-4cfa-b8cf-4396058ae9ed,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Kokrajhar
3d7a6647-a4ae-49a6-8b72-efad2d435f0f,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Lakhimpur
eed9f66e-f238-42ed-8756-b72114a0dc7d,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Majuli
60ad434c-dc94-47be-ae4f-39155346e41d,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Marigaon
06826883-52ec-460a-be53-54b35bae6ae4,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Nagaon
ff4e5e47-5400-4390-91c4-64f2f715ed05,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Nalbari
92cfa0f1-15bc-4c76-b013-ad6a6755ca4e,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Sivasagar
3bd777c9-3d85-4a93-8e92-db17820f3587,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Sonitpur
aa64a82d-c3f2-4775-b068-adfb9e530c97,40be93b2-340b-496d-a8bb-49b8f5a37ac3,South Salmara Mancachar
20a9f325-f9ca-4084-a71b-61c0a4d9ba90,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Tamulpur
c3df6236-0ee3-4a96-b197-7216b7cb32e5,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Tinsukia
82b32f92-cf9b-46d4-bde5-2c965d0714a5,40be93b2-340b-496d-a8bb-49b8f5a37ac3,Udalguri
f3fd8a73-f5c8-4ed7-a29f-47a5516a3af4,40be93b2-340b-496d-a8bb-49b8f5a37ac3,West Karbi Anglong
21919d1a-a843-46ad-a315-0e5e7a7ec906,e7a4bb49-6bac-4913-8d45-bf93e829a05b,Araria
8e08eb0a-140f-4968-a261-c40cc1343b4b,e7a4bb49-6bac-4913-8d45-bf93e829a05b,Arwal
22f742cb-3845-41ce-a76f-6f1a336ff1a2,e7a4bb49-6bac-4913-8d45-bf93e829a05b,Aurangabad
61994ffd-e5b9-4afb-a046-ee48ad47d277,e7a4bb49-6bac-4913-8d45-bf93e829a05b,Banka
bf0487c3-08c5-49ac-9a6d-29d1e71a058d,e7a4bb49-6bac-4913-8d45-bf93e829a05b,Begusarai
